,date,price,upanddown,check
649,2006-05-31,3.96,0.00,
650,2006-06-01,3.96,0.00,
651,2006-06-02,3.95,-0.25,
652,2006-06-03,3.95,-0.25,
653,2006-06-04,3.95,-0.25,
654,2006-06-05,3.94,-0.25,
655,2006-06-06,3.94,-0.25,
656,2006-06-07,3.99,+ 1.27,
657,2006-06-08,4.20,+ 5.26,
658,2006-06-09,4.20,0.00,
659,2006-06-10,4.20,0.00,
660,2006-06-11,4.20,0.00,
661,2006-06-12,4.20,0.00,
662,2006-06-13,4.20,0.00,
663,2006-06-14,4.20,0.00,
664,2006-06-15,4.21,+ 0.24,
665,2006-06-16,4.19,-0.48,
666,2006-06-17,4.19,-0.48,
667,2006-06-18,4.19,-0.48,
668,2006-06-19,4.19,0.00,
669,2006-06-20,4.19,0.00,
670,2006-06-21,4.19,0.00,
671,2006-06-22,4.22,+ 0.72,
672,2006-06-23,4.20,-0.47,
673,2006-06-24,4.20,-0.47,
674,2006-06-25,4.20,-0.47,
675,2006-06-26,4.20,0.00,
676,2006-06-27,4.20,0.00,
677,2006-06-28,4.19,-0.24,
678,2006-06-29,4.20,+ 0.24,
679,2006-06-30,4.21,+ 0.24,
680,2006-07-01,4.21,+ 0.24,
681,2006-07-02,4.21,+ 0.24,
682,2006-07-03,4.20,-0.24,
683,2006-07-04,4.20,0.00,
684,2006-07-05,4.20,0.00,
685,2006-07-06,4.19,-0.24,
686,2006-07-07,4.22,+ 0.72,
687,2006-07-08,4.22,+ 0.72,
688,2006-07-09,4.22,+ 0.72,
689,2006-07-10,4.20,-0.47,
690,2006-07-11,4.20,0.00,
691,2006-07-12,4.20,0.00,
692,2006-07-13,4.20,0.00,
693,2006-07-14,4.21,+ 0.24,
694,2006-07-15,4.21,+ 0.24,
695,2006-07-16,4.21,+ 0.24,
696,2006-07-17,4.21,+ 0.24,
697,2006-07-18,4.21,0.00,
698,2006-07-19,4.21,0.00,
699,2006-07-20,4.19,-0.48,
700,2006-07-21,4.30,+ 2.63,
701,2006-07-22,4.30,+ 2.63,
702,2006-07-23,4.30,+ 2.63,
703,2006-07-24,4.23,-1.63,
704,2006-07-25,4.23,0.00,
705,2006-07-26,4.23,0.00,
706,2006-07-27,4.22,-0.24,
707,2006-07-28,4.22,0.00,
708,2006-07-29,4.22,0.00,
709,2006-07-30,4.22,0.00,
710,2006-07-31,4.22,0.00,
711,2006-08-01,4.21,-0.24,
712,2006-08-02,4.22,+ 0.24,
713,2006-08-03,4.23,+ 0.24,
714,2006-08-04,4.29,+ 1.42,
715,2006-08-05,4.29,+ 1.42,
716,2006-08-06,4.29,+ 1.42,
