,date,price
1899,2012-11-07,2.76
1900,2012-11-06,2.76
1901,2012-11-05,2.75
1902,2012-11-02,2.75
1903,2012-11-01,2.75
1904,2012-10-31,2.75
1905,2012-10-30,2.74
1906,2012-10-29,2.74
1907,2012-10-26,2.74
1908,2012-10-25,2.75
1909,2012-10-24,2.74
1910,2012-10-23,2.74
1911,2012-10-22,2.74
1912,2012-10-19,2.75
1913,2012-10-18,2.75
1914,2012-10-17,2.75
1915,2012-10-16,2.75
1916,2012-10-15,2.75
1917,2012-10-12,2.75
1918,2012-10-11,2.75
1919,2012-10-10,3.03
1920,2012-10-09,3.00
1921,2012-10-08,2.99
1922,2012-10-05,3.00
1923,2012-10-04,3.01
1924,2012-10-02,2.99
1925,2012-09-28,3.01
1926,2012-09-27,2.99
1927,2012-09-26,2.99
1928,2012-09-25,2.99
1929,2012-09-24,3.00
1930,2012-09-21,3.00
1931,2012-09-20,3.00
1932,2012-09-19,2.99
1933,2012-09-18,2.99
1934,2012-09-17,2.99
1935,2012-09-14,2.99
1936,2012-09-13,2.99
1937,2012-09-12,2.99
1938,2012-09-11,2.99
